area,Electors in 2015,Electors in 2020
Aljunied,148024,150303
Ang Mo Kio,187652,185577
Bishan Toa Payoh,129850,126556
Choa Chu Kang,119848,137847
East Coast,99015,96493
Holland Bukit Timah,104397,112999
Jalan Besar,102454,99905
Jurong,130428,129933
Marine Parade,146087,143310
Marsling Yew Tee,107527,109437
Nee Soon,132200,142731
Pasir Ris Punggol,187252,242225
Seng Kang,0,117546
Sembawang,144604,167386
Tampines,143426,147249
Tanjong Pagar,130601,132598
West Coast,99236,98933
